숙소 링크,평점,후기 개수,이미지 파일
https://www.airbnb.co.kr/rooms/669330404114759711?search_mode=regular_search&adults=1&check_in=2025-07-11&check_out=2025-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P30l4iioaJ02WOjf&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,4.88,322.0,airbnb_images\숙소_1.jpg
https://www.airbnb.co.kr/rooms/1301063727673414005?search_mode=regular_search&adults=1&check_in=2025-07-07&check_out=2025-07-12&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P3ogbwT_ZciBKRUO&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,4.94,18.0,airbnb_images\숙소_2.jpg
https://www.airbnb.co.kr/rooms/910378669113461558?search_mode=regular_search&adults=1&check_in=2025-04-13&check_out=2025-04-18&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P3q1b6htAAVdKwwy&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,4.94,94.0,airbnb_images\숙소_3.jpg
https://www.airbnb.co.kr/rooms/1012949610528293644?search_mode=regular_search&adults=1&check_in=2025-06-01&check_out=2025-06-06&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P3cQdFMNeQHhzdu5&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,4.84,103.0,airbnb_images\숙소_4.jpg
https://www.airbnb.co.kr/rooms/1387249373321037387?search_mode=regular_search&adults=1&check_in=2025-04-26&check_out=2025-05-01&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P3QN0Huw9xuEO3Gr&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,,2.0,airbnb_images\숙소_5.jpg
https://www.airbnb.co.kr/rooms/1349252330991372942?search_mode=regular_search&adults=1&check_in=2025-06-04&check_out=2025-06-09&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P3MfWcW4vU-1eVwJ&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,5.0,15.0,airbnb_images\숙소_6.jpg
https://www.airbnb.co.kr/rooms/1341077628779968212?search_mode=regular_search&adults=1&check_in=2025-07-09&check_out=2025-07-14&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P3qnaSpkEG_dFG9B&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,4.91,11.0,airbnb_images\숙소_7.jpg
https://www.airbnb.co.kr/rooms/751971456294348365?search_mode=regular_search&adults=1&check_in=2025-05-06&check_out=2025-05-11&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P3BS68r38z6FQKt7&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,4.85,92.0,airbnb_images\숙소_8.jpg
https://www.airbnb.co.kr/rooms/1341025699765177571?search_mode=regular_search&adults=1&check_in=2025-05-31&check_out=2025-06-05&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P31ILiax1hGBOu_0&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,4.89,9.0,airbnb_images\숙소_9.jpg
https://www.airbnb.co.kr/rooms/1201817252824686603?search_mode=regular_search&adults=1&check_in=2025-04-27&check_out=2025-05-02&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P3S7hlNahHSXZFb_&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,4.88,32.0,airbnb_images\숙소_10.jpg
https://www.airbnb.co.kr/rooms/1253246208791489792?search_mode=regular_search&adults=1&check_in=2025-05-05&check_out=2025-05-10&children=0&infants=0&pets=0&source_impression_id=p3_1744545443_P3k10KcRGnWXd1xF&previous_page_section_name=1000&federated_search_id=323a8e5b-7f46-48df-8595-1fa6c8476072,,1.0,airbnb_images\숙소_11.jpg
