숙소 링크,평점,후기 개수,이미지 파일
https://www.airbnb.co.kr/rooms/993735490214204164?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&source_impression_id=p3_1744564178_P32-_G9If9n2tDAN&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.93,56.0,airbnb_images_2\숙소_1.jpg
https://www.airbnb.co.kr/rooms/1269865139362283489?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2013855794&source_impression_id=p3_1744564178_P3KpnM7ArQn6TTEt&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.95,22.0,airbnb_images_2\숙소_2.jpg
https://www.airbnb.co.kr/rooms/1174593060115705209?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&source_impression_id=p3_1744564178_P3zRT2YyScEX5Zp1&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.88,68.0,airbnb_images_2\숙소_3.jpg
https://www.airbnb.co.kr/rooms/800392819968577858?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&source_impression_id=p3_1744564178_P39jKLLBzXU0ozcd&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.59,75.0,airbnb_images_2\숙소_4.jpg
https://www.airbnb.co.kr/rooms/880358764581124693?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&source_impression_id=p3_1744564178_P30sxu-5BI8fQQgN&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.56,9.0,airbnb_images_2\숙소_5.jpg
https://www.airbnb.co.kr/rooms/822399599988304397?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&source_impression_id=p3_1744564178_P3_5-Gn7Dx7w5Tom&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.93,45.0,airbnb_images_2\숙소_6.jpg
https://www.airbnb.co.kr/rooms/1170021477394936710?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&source_impression_id=p3_1744564178_P34OhYc8lgZI3jYr&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.57,35.0,airbnb_images_2\숙소_7.jpg
https://www.airbnb.co.kr/rooms/1380736430553939575?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&source_impression_id=p3_1744564178_P3jT5iA_ccy63Ekj&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,5.0,4.0,airbnb_images_2\숙소_8.jpg
https://www.airbnb.co.kr/rooms/1062975367257616739?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2047952823&source_impression_id=p3_1744564178_P3Cgs0Ex_8thD9zm&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.9,51.0,airbnb_images_2\숙소_9.jpg
https://www.airbnb.co.kr/rooms/1127431848367122393?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&source_impression_id=p3_1744564178_P3Iq3cHOSLcoMdx9&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.75,48.0,airbnb_images_2\숙소_10.jpg
https://www.airbnb.co.kr/rooms/1041908805712602325?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&source_impression_id=p3_1744564178_P3INcAYZYbn_bG1u&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.61,131.0,N/A
https://www.airbnb.co.kr/rooms/1112230533776505035?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&source_impression_id=p3_1744564178_P35VdBuONun-zfUw&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.5,6.0,airbnb_images_2\숙소_12.jpg
https://www.airbnb.co.kr/rooms/997059353464739470?check_in=2025-05-15&check_out=2025-05-16&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1754684181&source_impression_id=p3_1744564178_P35u6ZCtuQyGAeRV&previous_page_section_name=1000&federated_search_id=9d083154-a454-47c7-8f3b-1cd250fab258,4.75,53.0,airbnb_images_2\숙소_13.jpg
